UK ID,UK Sanction Programme,UK Name,EU Name Match,EU ID,Multi Score,Label
6894,ISIL (Da'esh) and Al-Qaida,"{'Jibril', 'Abdurrahman', 'Abu', 'A', 'Rahman', 'Fihiruddin', 'Mohamad', 'Abdul', 'Iqbal', 'Muqti', 'Fikiruddin'}","{'Jibril', 'Abdurrahman', 'Abu', 'A', 'Rahman', 'Fihiruddin', 'Mohamad', 'Abdul', 'Iqbal', 'Muqti', 'Fikiruddin'}",1004,97,match
6895,Afghanistan,"{'Abdul', 'Qader', 'Hazem', 'Hai'}","{'Abdul', 'Qader', 'Hazem', 'Hai'}",505,95,match
6897,ISIL (Da'esh) and Al-Qaida,"{'Agha', 'Man', 'Al', 'Manan', 'Am', 'Abdul', 'Saiyid', 'Abd'}","{'Abd', 'Agha', 'Man', 'Al', 'Lmnn', 'Manan', 'Saiyid', 'Bd', 'Abdul', 'Ag', 'Am'}",514,94,match
6899,ISIL (Da'esh) and Al-Qaida,"{'Tarwat', 'Shahata', 'Tharwat', 'Abdallah', 'Ali', 'Shihata', 'Thirwat', 'Salah'}","{'Tarwat', 'Shahata', 'Tharwat', 'Abdallah', 'Ali', 'Shihata', 'Thirwat', 'Salah'}",796,97,match
6901,ISIL (Da'esh) and Al-Qaida,"{'Abdul', 'Majeed', 'Chaudhry', 'Majid'}","{'Abdul', 'Majeed', 'Chaudhry', 'Majid'}",641,98,match
6904,Afghanistan,"{'Awal', 'Baqi', 'Basir', 'Abdul', 'Shah'}","{'Awal', 'Baqi', 'Basir', 'Abdul', 'Shah'}",553,96,match
6905,Afghanistan,"{'Sahib', 'Bari', 'Akhund', 'Zakir', 'Mullah', 'Abdul', 'Haji'}","{'Sahib', 'Bari', 'Akhund', 'Zakir', 'Mullah', 'Abdul', 'Haji'}",556,97,match
6907,Afghanistan,"{'Abdul', 'Mauwin', 'Omari', 'Jabbar'}","{'Jabar', 'Jabbar', 'Omari', 'Mullah', 'Muawin', 'Abdul'}",614,92,match
6908,Afghanistan,"{'Akhter', 'Mohmad', 'Gul', 'Akhund', 'Mohammad', 'Wali', 'Haqqani', 'Jalil', 'Nazar', 'Abdul', 'Gulab', 'Jan', 'Haji'}","{'Akhter', 'Gul', 'Mohmad', 'Akhund', 'Mohammad', 'Wali', 'Haqqani', 'Jalil', 'Nazar', 'Abdul', 'Gulab', 'Jan', 'Haji'}",616,97,match
6909,Afghanistan,"{'A', 'Mohammad', 'Kabir', 'Abdul', 'Jan'}","{'A', 'Mohammad', 'Kabir', 'Abdul', 'Jan'}",623,95,match
